

gen best mean std sigma_prime mutation_r crossover_r
0 30.486571 -0.875309 9.293316 0.05 0.1 0.5
0 48.159358 22.334209 10.504472 0.045481 0.1 0.5
1 48.057201 25.267691 12.474239 0.041099 0.1 0.5
2 84.490665 22.048449 14.347075 0.04534 0.1 0.5
3 47.940877 24.295858 11.13149 0.045892 0.1 0.5
4 48.028738 27.958219 6.976985 0.044319 0.1 0.5
5 56.901926 32.000048 11.93455 0.043226 0.1 0.5
6 56.904175 30.085208 15.633621 0.045909 0.1 0.5
7 48.070411 27.257683 7.950011 0.049783 0.1 0.5
8 48.070411 27.911782 7.036569 0.047651 0.1 0.5
9 39.354553 27.040907 8.486802 0.045631 0.1 0.5
10 56.877507 34.36815 9.457562 0.043967 0.1 0.5
11 84.758145 41.127576 10.740778 0.046836 0.1 0.5
12 65.284617 36.964499 11.048163 0.044397 0.1 0.5
13 74.436144 40.235684 12.712196 0.048352 0.1 0.5
14 74.624975 40.484029 13.048501 0.043191 0.1 0.5
15 85.409234 47.087355 17.59717 0.043129 0.1 0.5
16 57.046757 37.934412 8.614241 0.044664 0.1 0.5
17 57.046757 39.996316 8.686093 0.04879 0.1 0.5
18 57.046757 40.219043 9.786716 0.045231 0.1 0.5
19 65.34456 39.636797 10.55541 0.05249 0.1 0.5
20 65.34456 42.468189 12.401194 0.053715 0.1 0.5
21 86.253767 46.618417 12.056153 0.046938 0.1 0.5
22 86.253767 51.139022 24.308611 0.045951 0.1 0.5
23 84.412447 38.987574 13.179987 0.049461 0.1 0.5
24 84.412447 53.725249 19.760574 0.045393 0.1 0.5
25 83.448046 45.199827 16.513346 0.04215 0.1 0.5
26 83.448046 38.587095 10.748662 0.044359 0.1 0.5
27 47.79141 37.796848 7.806041 0.044088 0.1 0.5
28 57.046757 37.234668 6.986058 0.04572 0.1 0.5
29 57.051965 43.505467 10.806909 0.046101 0.1 0.5
30 56.793424 42.76141 9.900911 0.043447 0.1 0.5
31 57.028738 41.396002 9.190064 0.045288 0.1 0.5
32 65.751957 42.523588 11.146538 0.041973 0.1 0.5
33 74.659641 46.578757 13.163358 0.03772 0.1 0.5
34 65.76363 42.276854 12.762578 0.034629 0.1 0.5
35 65.838793 52.906244 11.808593 0.037076 0.1 0.5
