

gen best mean std sigma_prime mutation_r crossover_r
104 89.144317 68.793027 27.462277 0.483791 0.37 0.92
105 89.144317 68.96603 27.854955 0.557493 0.4 0.97
106 88.317563 71.455243 28.984652 0.623144 0.43 1.02
107 88.226263 64.290132 29.76705 0.650103 0.46 1.07
108 88.273588 64.577317 32.30416 0.681617 0.49 1.12
109 88.273588 72.677866 27.109567 0.668956 0.52 1.17
110 86.520364 64.964121 29.064123 0.642863 0.55 1.22
111 86.212063 62.020544 30.669536 0.700737 0.58 1.27
112 86.463657 52.649976 28.32254 0.05 0.1 0.5
113 86.463657 65.8603 22.781061 0.079478 0.12 0.53
114 87.603068 66.318971 24.265859 0.110681 0.14 0.56
115 86.463657 68.6469 27.461651 0.144053 0.16 0.59
116 86.307257 52.518699 25.585284 0.176257 0.18 0.62
117 89.243285 58.024952 26.587471 0.154174 0.1 0.5
118 87.486836 56.148082 19.234796 0.190342 0.12 0.53
119 89.230961 52.788743 20.446379 0.21825 0.14 0.56
120 88.513588 41.163061 18.549522 0.254934 0.16 0.59
121 88.513588 54.745026 20.526906 0.28893 0.18 0.62
122 88.26773 57.864793 26.957093 0.313907 0.2 0.65
123 86.373767 53.390764 22.129978 0.322381 0.22 0.68
124 88.719955 58.846739 21.754883 0.372196 0.24 0.71
125 88.719955 61.963119 27.265855 0.36771 0.26 0.74
126 85.924924 65.9223 26.581737 0.415684 0.28 0.77
127 85.860644 55.295237 22.141035 0.486847 0.31 0.82
128 86.101716 56.771241 26.158394 0.570945 0.34 0.87
129 86.101716 65.788097 26.307744 0.651926 0.37 0.92
130 85.128571 49.377719 23.199041 0.753614 0.4 0.97
131 85.709903 61.843257 29.771079 0.837583 0.43 1.02
132 85.709903 53.995697 27.790509 0.872825 0.46 1.07
133 85.437843 53.1214 23.915314 0.896574 0.49 1.12
