# gen best mean std diversity
0.000000 90.837367 57.719592 2.700719 0.487150
1.000000 90.386611 66.282066 10.288062 0.258695
2.000000 90.026611 76.867661 5.172391 0.489336
3.000000 88.763843 81.635670 9.032980 0.283089
4.000000 90.739688 84.552557 3.115393 0.452112
5.000000 90.979688 83.477383 10.494432 0.360592
6.000000 90.859688 81.736512 3.630349 0.431472
7.000000 90.673561 84.610322 10.101355 0.219652
8.000000 90.673561 82.942070 3.339459 0.399711
9.000000 90.499688 84.640952 7.745300 0.192158
10.000000 89.539361 84.202867 9.433469 0.354194
11.000000 89.899361 85.105012 9.243074 0.227905
12.000000 89.899361 85.835249 6.561846 0.237181
13.000000 90.739688 83.232133 8.076768 0.149695
14.000000 90.859688 83.631314 13.547550 0.310644
15.000000 89.486611 84.310171 6.691585 0.189327
16.000000 89.666611 85.740247 5.469258 0.348866
17.000000 89.306611 85.315379 9.425285 0.203297
18.000000 89.959688 87.081801 1.442278 0.360442
19.000000 90.303246 86.100432 8.305974 0.276246
20.000000 89.558539 85.132142 9.455284 0.177519
21.000000 89.558539 85.792187 7.330316 0.130602
22.000000 90.553561 86.688204 4.562391 0.343509
23.000000 90.733561 86.042336 8.272997 0.219381
24.000000 90.733561 86.101735 6.457270 0.256563
25.000000 90.686611 85.768322 8.214070 0.114337
26.000000 90.206611 87.404188 2.230707 0.213756
27.000000 90.739688 85.975999 6.763936 0.170869
28.000000 89.558539 87.333054 4.827258 0.356474
29.000000 90.211054 87.288459 0.394577 0.106571
30.000000 87.297882 86.010536 7.734992 0.305666
31.000000 89.562547 86.475737 6.315159 0.223699
32.000000 89.343229 87.005658 4.807905 0.132802
33.000000 87.931965 86.891938 2.767668 0.098360
34.000000 88.051965 86.299162 5.343250 0.313671
35.000000 87.379358 86.358108 6.264208 0.230772
36.000000 89.719688 85.166958 10.591645 0.327075
37.000000 89.719688 87.389371 2.110675 0.189470
38.000000 89.398742 86.610756 6.602976 0.183089
39.000000 89.378539 87.204935 0.141047 0.142818
40.000000 87.297882 86.052723 6.807531 0.231630
41.000000 89.558539 85.979007 7.968383 0.172219
42.000000 89.558539 86.768755 6.305660 0.293569
43.000000 89.971940 87.115897 3.417312 0.191512
44.000000 90.019688 85.814451 10.591757 0.288312
45.000000 90.019688 86.992167 5.778937 0.180852
46.000000 90.019688 84.863117 6.601322 0.259645
47.000000 90.259688 87.703310 0.519823 0.168218
48.000000 89.971940 87.695794 0.143253 0.320128
49.000000 89.971940 87.469781 1.456227 0.207503
50.000000 89.971940 86.384672 9.320617 0.251035
51.000000 89.558539 87.417135 0.392045 0.132324
52.000000 89.971940 87.646937 0.534044 0.116455
53.000000 89.558539 87.388272 0.440843 0.078942
54.000000 90.543229 87.687924 0.364001 0.245850
55.000000 90.543229 86.900213 7.067687 0.187096
56.000000 89.971940 87.763585 0.289602 0.298612
57.000000 89.851940 87.555389 3.411391 0.196938
58.000000 89.851940 88.022360 0.387543 0.245185
59.000000 89.558539 87.352039 2.692376 0.177684
60.000000 89.971940 87.376548 0.330136 0.289260
61.000000 90.379688 86.279168 8.239793 0.220262
62.000000 90.499688 87.798477 4.582642 0.268600
63.000000 89.971940 87.601916 0.265307 0.191031
64.000000 89.558539 86.215708 6.762672 0.198614
65.000000 89.558539 87.654839 0.281044 0.121186
66.000000 90.679688 87.920260 0.404026 0.267901
67.000000 90.679688 87.699771 0.335072 0.191058
68.000000 90.139688 87.468644 2.049865 0.241330
69.000000 90.199688 87.770643 0.312397 0.165806
70.000000 89.971940 86.994486 6.011754 0.150763
71.000000 89.971940 87.830687 1.975899 0.117415
72.000000 89.971940 88.283290 1.948939 0.252065
73.000000 89.558539 87.086830 4.156066 0.189250
74.000000 89.971940 88.166462 0.429604 0.116485
75.000000 90.206611 87.862105 0.489162 0.092002
76.000000 89.558539 87.594478 0.822721 0.196538
77.000000 89.971940 87.734234 0.407170 0.105286
78.000000 89.971940 87.660579 2.008200 0.234939
79.000000 89.558539 87.477209 0.456894 0.170840
80.000000 89.971940 87.562918 1.996906 0.230429
81.000000 89.971940 87.506808 1.402709 0.142996
82.000000 90.679688 87.345026 6.031879 0.248593
83.000000 89.558539 87.775485 0.401545 0.190095
84.000000 89.971940 87.548552 4.800793 0.254700
85.000000 90.619688 87.559380 4.745427 0.152036
86.000000 90.679688 87.342623 4.567554 0.177536
87.000000 90.211940 88.031112 0.327931 0.141898
88.000000 90.439688 87.446643 6.987992 0.305158
89.000000 90.211940 87.601187 3.250153 0.178739
90.000000 90.211940 87.721811 3.068919 0.253004
91.000000 89.971940 87.098980 8.720331 0.159959
92.000000 89.971940 87.887810 0.526872 0.217691
93.000000 89.971940 87.823676 2.866389 0.160154
94.000000 89.971940 88.108833 0.955332 0.279000
95.000000 89.971940 86.885978 8.997052 0.121823
96.000000 89.971940 87.702891 3.450180 0.252126
97.000000 89.971940 87.905215 4.640535 0.175042
98.000000 89.971940 88.583215 0.294368 0.211379
99.000000 89.971940 88.101769 0.382035 0.061343
