

gen best mean std sigma_prime mutation_r crossover_r
104 88.852798 38.605388 19.257855 0.30061 0.26 0.74
105 82.850785 38.605388 19.257855 0.303737 0.28 0.77
106 82.850785 38.605388 19.257855 0.356041 0.31 0.82
107 64.905765 38.605388 19.257855 0.44233 0.34 0.87
108 64.905765 38.605388 19.257855 0.500468 0.37 0.92
109 64.905765 38.605388 19.257855 0.593573 0.4 0.97
110 64.905765 38.605388 19.257855 0.614867 0.43 1.02
111 64.905765 38.605388 19.257855 0.702875 0.46 1.07
112 30.597323 38.605388 19.257855 0.817364 0.49 1.12
113 56.326702 38.605388 19.257855 0.958919 0.52 1.17
114 56.326702 38.605388 19.257855 1.045215 0.55 1.22
115 47.853671 38.605388 19.257855 1.080605 0.58 1.27
116 83.528344 38.605388 19.257855 0.05 0.1 0.5
117 83.528344 38.605388 19.257855 0.08302 0.12 0.53
118 65.793424 38.605388 19.257855 0.107865 0.14 0.56
119 83.691496 38.605388 19.257855 0.137943 0.16 0.59
120 30.711733 38.605388 19.257855 0.167135 0.18 0.62
121 38.317891 38.605388 19.257855 0.194109 0.2 0.65
122 86.538969 38.605388 19.257855 0.240674 0.22 0.68
123 30.711733 38.605388 19.257855 0.277614 0.24 0.71
124 30.486571 38.605388 19.257855 0.293138 0.26 0.74
125 39.427846 38.605388 19.257855 0.30711 0.28 0.77
126 39.427846 38.605388 19.257855 0.394598 0.31 0.82
127 39.427846 38.605388 19.257855 0.442636 0.34 0.87
128 39.427846 38.605388 19.257855 0.50484 0.37 0.92
129 39.427846 38.605388 19.257855 0.571 0.4 0.97
130 39.427846 38.605388 19.257855 0.620433 0.43 1.02
131 39.319827 38.605388 19.257855 0.633518 0.46 1.07
132 39.319827 38.605388 19.257855 0.782577 0.49 1.12
133 39.008535 38.605388 19.257855 0.856024 0.52 1.17
134 30.696695 38.605388 19.257855 0.886372 0.55 1.22
135 30.696695 38.605388 19.257855 0.88604 0.58 1.27
136 56.947911 38.605388 19.257855 0.05 0.1 0.5
137 65.860115 38.605388 19.257855 0.086244 0.12 0.53
138 67.36678 38.605388 19.257855 0.113932 0.14 0.56
139 85.323657 38.605388 19.257855 0.144305 0.16 0.59
140 64.696157 38.605388 19.257855 0.179328 0.18 0.62
141 84.382061 38.605388 19.257855 0.1994 0.2 0.65
142 84.382061 38.605388 19.257855 0.235044 0.22 0.68
143 56.787394 38.605388 19.257855 0.284238 0.24 0.71
144 56.787394 38.605388 19.257855 0.288156 0.26 0.74
145 47.188756 38.605388 19.257855 0.329054 0.28 0.77
146 65.32678 38.605388 19.257855 0.410944 0.31 0.82
147 65.32678 38.605388 19.257855 0.470329 0.34 0.87
148 47.274966 38.605388 19.257855 0.546261 0.37 0.92
149 47.274966 38.605388 19.257855 0.64836 0.4 0.97
150 30.515203 38.605388 19.257855 0.73908 0.43 1.02
151 39.299556 38.605388 19.257855 0.791018 0.46 1.07
152 73.841486 38.605388 19.257855 0.834559 0.49 1.12
153 85.144924 38.605388 19.257855 0.935753 0.52 1.17
154 85.144924 38.605388 19.257855 1.040615 0.55 1.22
155 56.047271 38.605388 19.257855 1.001496 0.58 1.27
156 74.026457 38.605388 19.257855 0.05 0.1 0.5
157 85.741716 38.605388 19.257855 0.075579 0.12 0.53
158 83.365521 38.605388 19.257855 0.100274 0.14 0.56
159 84.278755 38.605388 19.257855 0.126665 0.16 0.59
160 85.782667 38.605388 19.257855 0.140124 0.18 0.62
161 84.757173 38.605388 19.257855 0.182082 0.2 0.65
162 84.278755 38.605388 19.257855 0.219297 0.22 0.68
163 85.600816 38.605388 19.257855 0.2862 0.24 0.71
164 85.600816 38.605388 19.257855 0.316872 0.26 0.74
165 87.369437 38.605388 19.257855 0.350667 0.28 0.77
166 87.369437 38.605388 19.257855 0.410891 0.31 0.82
167 87.369437 38.605388 19.257855 0.44377 0.34 0.87
168 87.369437 38.605388 19.257855 0.49071 0.37 0.92
169 87.369437 38.605388 19.257855 0.550167 0.4 0.97
170 87.369437 38.605388 19.257855 0.611939 0.43 1.02
171 87.369437 38.605388 19.257855 0.665606 0.46 1.07
172 65.862273 38.605388 19.257855 0.684058 0.49 1.12
173 30.711733 38.605388 19.257855 0.778395 0.52 1.17
174 39.083798 38.605388 19.257855 0.817251 0.55 1.22
175 83.778299 38.605388 19.257855 0.847988 0.58 1.27
176 83.778299 38.605388 19.257855 0.05 0.1 0.5
177 67.24678 38.605388 19.257855 0.081648 0.12 0.53
178 67.24678 38.605388 19.257855 0.11944 0.14 0.56
179 83.82463 38.605388 19.257855 0.140113 0.16 0.59
180 86.527267 38.605388 19.257855 0.166785 0.18 0.62
181 86.527267 38.605388 19.257855 0.192999 0.2 0.65
182 86.527267 38.605388 19.257855 0.24624 0.22 0.68
