

gen best mean std
0 85.292892 1.666664 18.583534
1 85.292892 13.251912 27.228329
2 85.292892 25.848445 29.949586
3 85.292892 41.532414 29.639851
4 85.292892 57.058838 20.050139
5 88.163414 61.507976 17.20205
6 88.163414 62.747197 13.583162
7 88.163414 62.725515 15.007873
8 90.18216 64.741459 10.774865
9 90.18216 64.564322 10.762452
10 90.18216 64.114856 12.955714
