

gen best mean std sigma_prime mutation_r crossover_r
0 92.394865 7.882278 25.105983 0.05 0.1 0.5
0 93.67505 82.098458 24.329503 0.055998 0.1 0.5
1 93.203414 84.511588 23.083076 0.056293 0.1 0.5
2 93.147511 88.892117 16.528438 0.057504 0.1 0.5
3 93.494823 91.589118 9.072958 0.065199 0.1 0.5
4 93.315203 86.435816 22.352414 0.06078 0.1 0.5
5 93.494823 91.386931 9.362515 0.060803 0.1 0.5
6 93.70625 90.526984 13.158866 0.054991 0.1 0.5
7 94.516054 92.775795 1.109232 0.052193 0.1 0.5
8 94.055214 88.777459 18.624475 0.051728 0.1 0.5
9 93.423246 91.414053 9.284355 0.051567 0.1 0.5
10 93.266695 90.223525 13.510741 0.051296 0.1 0.5
11 93.803536 88.146142 19.403018 0.053272 0.1 0.5
12 93.778742 91.786474 7.240564 0.045565 0.1 0.5
13 93.931733 88.004043 20.1491 0.042165 0.1 0.5
14 93.931733 91.572752 5.893926 0.050085 0.1 0.5
15 93.995214 91.371831 9.657863 0.048975 0.1 0.5
16 93.974024 88.598977 18.918251 0.055708 0.1 0.5
17 94.281683 89.301006 16.155865 0.05432 0.1 0.5
18 93.743558 90.697653 10.095206 0.054834 0.1 0.5
19 93.875214 90.384198 14.34959 0.052524 0.1 0.5
20 93.863558 87.256963 18.845135 0.055499 0.1 0.5
21 92.962666 91.781617 7.17178 0.054303 0.1 0.5
22 94.124051 89.773218 15.016076 0.061534 0.1 0.5
23 94.124051 91.857472 7.565271 0.060088 0.1 0.5
24 93.743558 91.168906 10.049187 0.054128 0.1 0.5
25 93.946708 91.426268 8.167263 0.056208 0.1 0.5
26 94.540945 91.676149 9.91267 0.048918 0.1 0.5
27 94.540945 92.037704 7.603666 0.053027 0.1 0.5
28 93.946708 90.388166 13.125035 0.06042 0.1 0.5
29 93.931733 92.665691 0.494409 0.063562 0.1 0.5
30 93.936796 91.244119 9.414974 0.069888 0.1 0.5
31 93.936796 91.215545 9.420174 0.063974 0.1 0.5
32 94.056796 87.007199 19.95449 0.060086 0.1 0.5
33 94.056796 89.736114 14.357863 0.057166 0.1 0.5
34 94.180945 92.061155 4.978982 0.055929 0.1 0.5
35 94.343414 89.807636 15.030214 0.065234 0.1 0.5
36 93.931733 90.331882 13.800296 0.062633 0.1 0.5
37 93.019361 90.998167 8.109131 0.065274 0.1 0.5
38 93.936796 91.756905 6.114361 0.06861 0.1 0.5
39 94.156695 91.070392 9.858964 0.066701 0.1 0.5
40 94.156695 90.694976 12.542978 0.064694 0.1 0.5
41 94.156695 92.360382 0.70657 0.05906 0.1 0.5
42 94.156695 92.369476 0.606662 0.056982 0.1 0.5
43 94.156695 91.70515 7.750141 0.060322 0.1 0.5
44 93.79505 91.853247 7.244223 0.060603 0.1 0.5
45 94.066708 90.486805 12.381359 0.059247 0.1 0.5
46 93.995214 91.034736 10.825261 0.065914 0.1 0.5
47 93.70027 91.867907 8.028366 0.061671 0.1 0.5
48 94.054253 90.009888 13.228521 0.05933 0.1 0.5
49 94.054253 90.896635 12.010124 0.054207 0.1 0.5
50 93.571733 92.192158 0.918551 0.046181 0.1 0.5
51 93.634253 92.291894 1.231466 0.049686 0.1 0.5
52 94.108891 92.724463 1.075441 0.047061 0.1 0.5
53 93.063246 92.358455 0.729427 0.0466 0.1 0.5
54 93.408788 92.168191 1.172097 0.049781 0.1 0.5
55 93.692892 92.263637 0.81754 0.049236 0.1 0.5
56 93.931733 91.724962 8.115379 0.050882 0.1 0.5
57 93.991733 90.885342 11.080279 0.050043 0.1 0.5
58 93.991733 92.71281 1.177541 0.04667 0.1 0.5
59 93.931733 92.011761 8.139279 0.045221 0.1 0.5
60 93.931733 89.877566 15.438392 0.048592 0.1 0.5
61 94.060945 91.386496 8.634442 0.050916 0.1 0.5
62 93.814253 91.639144 5.565136 0.045756 0.1 0.5
63 93.9239 92.338158 0.606619 0.044032 0.1 0.5
64 93.931733 89.954264 15.726741 0.044884 0.1 0.5
65 93.871733 91.590873 9.096987 0.046301 0.1 0.5
66 93.939644 92.017603 1.130871 0.048668 0.1 0.5
67 93.939644 92.960904 0.735288 0.045755 0.1 0.5
68 93.722832 91.293839 9.123899 0.051526 0.1 0.5
69 94.600945 92.432679 5.572385 0.051062 0.1 0.5
70 94.125064 91.982812 9.462561 0.056621 0.1 0.5
71 94.527729 91.462084 11.122014 0.068061 0.1 0.5
72 94.509365 92.657854 3.67463 0.075678 0.1 0.5
73 94.509365 91.552383 11.325365 0.063599 0.1 0.5
74 94.348891 90.902184 13.108899 0.066403 0.1 0.5
75 94.348891 91.84575 9.501692 0.065496 0.1 0.5
76 93.946708 93.419569 0.82286 0.068302 0.1 0.5
77 93.946708 89.156438 15.363564 0.077063 0.1 0.5
78 93.946708 92.534784 7.443885 0.074252 0.1 0.5
79 94.018336 93.224345 0.910273 0.075114 0.1 0.5
80 94.060945 92.849761 1.283288 0.069889 0.1 0.5
81 94.060945 92.639899 7.061397 0.068318 0.1 0.5
82 94.000945 91.611251 10.148159 0.063815 0.1 0.5
83 94.060945 93.040874 3.74604 0.064381 0.1 0.5
84 93.859465 92.23332 8.763152 0.065587 0.1 0.5
85 94.000945 93.053244 3.793532 0.063263 0.1 0.5
86 94.264826 93.387663 0.825834 0.060213 0.1 0.5
87 94.264826 92.495818 4.795185 0.056332 0.1 0.5
88 94.060945 93.196675 1.330136 0.059009 0.1 0.5
89 94.078336 93.483118 1.023587 0.055801 0.1 0.5
90 94.350144 93.41587 1.011122 0.058088 0.1 0.5
91 94.152614 92.759255 3.291846 0.059074 0.1 0.5
92 94.000945 93.18315 1.078392 0.059992 0.1 0.5
93 93.999644 93.451911 1.084857 0.05938 0.1 0.5
94 94.009562 93.378741 0.661707 0.061358 0.1 0.5
95 94.204826 93.204658 1.466736 0.053595 0.1 0.5
96 94.000945 92.691147 7.812073 0.04761 0.1 0.5
97 94.060945 92.095493 9.981259 0.045012 0.1 0.5
98 93.939644 93.350568 0.828573 0.043679 0.1 0.5
99 93.940945 93.495562 0.997713 0.043329 0.1 0.5
