gen,best,mean,sd
52,9.866666666666767,-33.17111111111106,32.53073206054643
53,12.266666666666755,-25.332891832229517,29.959905507109386
54,12.266666666666755,-31.88157894736836,34.10276625895287
55,12.266666666666755,-27.270045045044988,28.69904852925369
56,12.266666666666755,-34.82319819819814,34.14012277166886
57,12.266666666666755,-26.270222222222163,30.081362544658962
58,27.60000000000012,-26.617660044150046,31.005459133350396
59,27.60000000000012,-25.892666666666607,31.28316335003841
60,27.60000000000012,-24.064864864864802,30.011617816450993
61,27.60000000000012,-29.38422222222216,32.663841532408924
62,27.60000000000012,-29.15165562913901,33.61882349863764
63,27.60000000000012,-24.5103070175438,28.64728389847007
64,27.60000000000012,-29.412444444444386,32.840099369783964
65,27.60000000000012,-26.324724061810098,29.832606935198523
66,27.60000000000012,-28.36048565121407,31.66357517243001
67,28.40000000000011,-26.57069351230419,31.64797868743004
68,28.40000000000011,-28.235585585585525,33.14923840662668
69,28.40000000000011,-28.720888888888826,33.022442771807256
70,28.40000000000011,-26.61942604856506,32.060683667042646
71,28.40000000000011,-29.639189189189132,32.98127317317159
72,28.40000000000011,-32.099773242630334,34.25240919777516
73,28.40000000000011,-30.558888888888827,34.19345560444046
74,28.40000000000011,-27.207675438596432,31.16238629730743
75,28.40000000000011,-28.307936507936443,32.37808585195603
76,28.40000000000011,-24.89088888888883,30.31449302492169
77,28.40000000000011,-29.025675675675615,33.15863343671313
78,28.40000000000011,-27.67177777777772,32.86460118293817
79,28.40000000000011,-22.69890350877187,27.504594092008137
80,28.40000000000011,-25.826710816776988,29.70958475544468
81,28.40000000000011,-30.213422818791894,34.096365808750114
82,28.40000000000011,-26.63725490196073,30.54270982294523
83,28.40000000000011,-25.946357615893984,32.33289114044365
84,28.40000000000011,-29.603111111111055,32.7531384635103
85,28.40000000000011,-29.21710526315784,32.583629465797074
86,28.40000000000011,-27.848785871964623,32.573111916712804
87,28.40000000000011,-28.210606060606,32.16708581575275
88,28.40000000000011,-29.128256070640116,33.09547113562005
89,28.40000000000011,-26.531999999999947,31.659500681587012
90,28.40000000000011,-28.91133333333328,34.13729074932141
91,28.40000000000011,-26.64022222222216,30.80982197808012
92,28.40000000000011,-24.744966442952958,30.66573384588822
93,28.40000000000011,-27.918594104308326,33.43326700826337
94,28.40000000000011,-26.638775510204017,32.033655544453346
95,28.40000000000011,-25.995270270270208,33.29790572510088
