# gen best mean std diversity
0.000000 92.394865 74.992672 10.005039 0.502675
1.000000 92.394865 75.129351 13.499363 0.227036
2.000000 93.075050 73.173789 4.599592 0.472625
3.000000 93.166571 87.637333 10.447861 0.230275
4.000000 93.618253 84.647665 9.422610 0.443679
5.000000 93.799465 89.827252 4.990421 0.320211
6.000000 93.296420 88.974108 9.156654 0.427786
7.000000 93.390571 91.083992 3.015087 0.258791
8.000000 93.935214 90.671881 6.503619 0.404358
9.000000 93.629516 90.824462 6.653317 0.230303
10.000000 93.936796 91.145057 7.640406 0.350943
11.000000 93.939644 90.018067 9.386332 0.186905
12.000000 93.996796 90.502308 7.132677 0.291239
13.000000 94.038708 90.842795 8.330851 0.204076
14.000000 93.983900 91.076725 5.690728 0.349727
15.000000 93.626611 90.949924 5.588042 0.203648
16.000000 94.223558 91.791803 3.912667 0.270373
17.000000 93.931733 90.277627 7.814471 0.162405
18.000000 93.936796 90.820411 7.602929 0.346164
19.000000 94.066708 88.606172 8.679312 0.248049
20.000000 93.991733 90.977232 5.842579 0.274793
21.000000 93.936796 91.461687 6.331635 0.138334
22.000000 93.832124 89.885709 7.408377 0.143362
23.000000 94.066708 91.145959 6.962025 0.086376
24.000000 94.066708 91.968058 5.956830 0.353620
25.000000 93.931733 90.661984 7.628731 0.275411
26.000000 93.432976 89.897570 10.387819 0.278668
27.000000 93.983558 90.826027 8.415703 0.196956
28.000000 93.964826 90.801188 6.077989 0.333206
29.000000 94.066708 92.577118 0.703059 0.196783
30.000000 93.435050 91.305171 5.983153 0.155660
31.000000 93.784826 92.078549 4.334132 0.112070
32.000000 93.597155 92.378212 0.338702 0.191503
33.000000 93.674024 91.040619 8.266135 0.140779
34.000000 93.375050 92.090641 2.707213 0.099410
35.000000 93.375050 92.450672 0.276653 0.060441
36.000000 93.375050 92.428964 0.229106 0.303929
37.000000 93.739465 92.449100 0.240196 0.193903
38.000000 93.904826 90.591411 10.206755 0.143192
39.000000 93.904826 92.434029 0.192661 0.079093
40.000000 93.251062 91.782976 5.574586 0.220001
41.000000 93.914024 89.623763 10.825304 0.135640
42.000000 93.108788 90.645090 8.888634 0.156895
43.000000 93.412379 90.285640 8.072530 0.093782
44.000000 93.412379 91.800797 5.986817 0.249999
45.000000 93.203536 91.583686 5.452146 0.229720
46.000000 93.059318 91.381383 7.213644 0.122862
47.000000 93.050612 92.219954 0.608482 0.077115
48.000000 92.859644 92.282947 0.486005 0.302878
49.000000 92.859644 91.341007 6.978468 0.203751
50.000000 92.859644 90.987837 7.503312 0.072718
51.000000 92.962972 92.076642 0.535774 0.059067
52.000000 93.239214 92.351418 0.382162 0.183555
53.000000 94.252404 91.660363 5.290339 0.163835
54.000000 92.895203 91.495337 6.259680 0.274656
55.000000 92.989641 88.510424 11.968441 0.194632
56.000000 93.439465 90.865977 6.895142 0.165914
57.000000 93.784826 91.763830 6.345137 0.107948
58.000000 93.859465 90.561063 9.700586 0.240993
59.000000 93.859465 90.054972 10.432826 0.139163
60.000000 93.859465 89.273950 10.568436 0.133505
61.000000 93.859465 88.317557 10.270710 0.117413
62.000000 93.931733 89.589374 9.440960 0.280674
63.000000 93.137040 84.105849 11.366919 0.229125
64.000000 93.494823 92.553641 0.270470 0.100954
65.000000 93.586571 90.698106 8.476556 0.049852
66.000000 93.590612 91.375758 8.046762 0.255455
67.000000 93.999644 91.893407 5.588238 0.186139
68.000000 93.459644 90.525648 9.011077 0.141309
69.000000 93.508354 90.868566 7.694754 0.091913
70.000000 93.284679 90.541190 5.880249 0.241982
71.000000 94.502505 91.745006 6.844807 0.193124
72.000000 94.502505 88.076099 13.722652 0.177922
73.000000 94.502505 91.831684 6.590407 0.098865
74.000000 94.512976 90.146351 9.118275 0.156555
75.000000 94.512976 91.624245 6.573344 0.106413
76.000000 94.512976 92.193866 0.928928 0.144208
77.000000 94.512976 92.548858 0.549705 0.103554
78.000000 93.935214 92.492167 0.322031 0.249733
79.000000 94.206794 92.455061 0.312848 0.135446
80.000000 93.251732 91.705696 6.495015 0.149474
81.000000 93.826571 92.462621 0.306075 0.092268
82.000000 93.743558 91.883111 6.076742 0.147840
83.000000 93.666794 90.317921 10.487934 0.111201
84.000000 93.795050 87.728759 11.908561 0.242138
85.000000 93.503850 91.932127 3.229646 0.150403
86.000000 93.503850 91.105711 8.350763 0.144577
87.000000 93.863558 90.243725 10.493416 0.107586
88.000000 93.863558 91.058580 4.900141 0.225655
89.000000 93.416420 91.700340 4.485720 0.135258
90.000000 94.132404 90.910846 6.496471 0.236042
91.000000 94.132404 90.359917 8.344742 0.160131
92.000000 93.328354 89.989053 11.070135 0.110935
93.000000 93.736695 91.175738 8.134509 0.071462
94.000000 93.926695 91.769383 5.144189 0.118998
95.000000 93.926695 92.335526 0.430786 0.085882
96.000000 93.358742 90.920999 8.685734 0.228786
97.000000 93.686695 91.405847 6.982053 0.162812
98.000000 93.735050 90.989517 9.091624 0.186155
99.000000 93.572751 91.776211 6.527708 0.151954
