# gen best mean std diversity
0.000000 89.786611 71.831779 3.771448 0.476104
1.000000 90.086611 79.332569 3.181749 0.296074
2.000000 91.586611 77.770291 4.149402 0.458394
3.000000 90.913561 80.024887 9.818487 0.338205
4.000000 90.913561 82.268522 8.861624 0.466859
5.000000 92.147846 82.006111 9.960770 0.254020
6.000000 91.453573 85.466888 8.093064 0.474182
7.000000 89.959688 83.126831 10.362910 0.181291
8.000000 89.653561 86.359477 8.063510 0.429375
9.000000 89.463229 86.743144 5.850419 0.305520
10.000000 88.842264 84.894900 5.775542 0.342476
11.000000 88.842264 83.892881 6.430332 0.240641
12.000000 90.199688 86.314544 3.900520 0.307913
13.000000 90.439688 86.310125 6.277797 0.233815
14.000000 90.073561 86.216642 7.356705 0.378488
15.000000 91.099688 85.125916 8.293201 0.289375
16.000000 90.139688 85.221471 7.463708 0.311195
17.000000 91.099688 86.092136 5.685607 0.215952
18.000000 89.899688 86.362229 6.121950 0.361250
19.000000 87.259358 87.027719 1.497437 0.285210
20.000000 88.993561 85.542770 6.522423 0.327663
21.000000 89.550571 87.239753 0.242614 0.231947
22.000000 89.971940 85.277139 8.926082 0.326466
23.000000 90.953025 77.920112 11.082682 0.172974
24.000000 90.793561 87.612800 0.402537 0.322457
25.000000 91.226611 86.025442 7.984650 0.215802
26.000000 90.679688 85.319887 8.809585 0.295699
27.000000 91.996695 87.037600 5.687696 0.182540
28.000000 90.139688 87.762802 0.552716 0.188133
29.000000 89.486611 87.271811 0.310889 0.076454
30.000000 89.719688 86.874131 2.811505 0.292437
31.000000 90.148354 87.129647 4.707472 0.223073
32.000000 89.347040 86.711486 4.721141 0.260633
33.000000 89.347040 86.667615 5.065853 0.160309
34.000000 91.911655 87.174140 2.172146 0.176374
35.000000 91.971655 86.501860 6.192204 0.142669
36.000000 90.716420 87.629159 0.324297 0.318910
37.000000 90.926611 87.259723 4.495127 0.202405
38.000000 89.606611 86.841003 6.360676 0.158873
39.000000 89.666611 87.322581 4.779050 0.103604
40.000000 89.486611 86.965020 2.193440 0.291797
41.000000 89.163229 85.880445 5.552301 0.169017
42.000000 90.019688 84.586285 7.924367 0.249287
43.000000 90.953025 87.335930 2.963869 0.187916
44.000000 90.139688 84.618365 7.167724 0.307637
45.000000 90.139688 86.907681 5.343671 0.219000
46.000000 89.413561 86.186480 7.462922 0.332696
47.000000 89.562547 86.847117 4.622779 0.255298
48.000000 89.971940 87.071116 4.572671 0.177919
49.000000 89.343229 86.966325 2.739110 0.103901
50.000000 90.859688 86.100279 7.119980 0.302571
51.000000 90.859688 86.328865 6.821414 0.226830
52.000000 89.971940 86.855966 6.601989 0.239839
53.000000 90.979688 86.778049 4.693800 0.193270
54.000000 91.013025 86.821391 6.829977 0.267810
55.000000 90.073561 86.523471 6.367148 0.207140
56.000000 89.593561 73.339884 9.057922 0.264902
57.000000 89.562547 84.253916 9.366820 0.155041
58.000000 92.239361 80.090061 12.764559 0.138996
59.000000 90.596420 85.971953 8.316300 0.129804
60.000000 90.919688 86.666516 5.257931 0.255045
61.000000 90.979688 87.068302 3.048243 0.151191
62.000000 90.919688 86.517378 5.656930 0.264780
63.000000 90.919688 86.847437 7.164786 0.195361
64.000000 90.716420 87.201930 1.544293 0.265890
65.000000 90.953025 87.029235 4.834686 0.196178
66.000000 90.833025 86.898471 3.385610 0.265376
67.000000 89.558539 87.187642 2.244124 0.163577
68.000000 91.013025 87.470867 0.415744 0.246670
69.000000 91.013025 87.228838 6.698229 0.175465
70.000000 91.016420 87.636816 1.642215 0.149012
71.000000 90.773025 87.292111 5.828815 0.055203
72.000000 89.971940 87.470953 5.460229 0.133628
73.000000 90.114668 86.699044 5.323901 0.083191
74.000000 90.511940 87.274177 4.082349 0.260541
75.000000 90.379688 87.132464 4.037516 0.165839
76.000000 90.379688 86.628199 7.341320 0.215799
77.000000 90.903246 87.831101 2.788310 0.146407
78.000000 90.439688 87.538939 1.055029 0.186899
79.000000 90.439688 86.756168 5.693025 0.154917
80.000000 90.739688 86.818598 5.659418 0.260823
81.000000 90.679688 86.480067 5.958713 0.210102
82.000000 90.002832 86.366701 6.588453 0.188957
83.000000 90.903246 86.804635 5.411300 0.114001
84.000000 90.903246 86.985992 4.542753 0.271762
85.000000 87.237882 87.213575 0.019236 0.195141
86.000000 87.297882 87.212657 0.018004 0.120613
87.000000 89.779688 86.809312 4.733110 0.063100
88.000000 89.779688 86.772202 4.742772 0.200877
89.000000 89.779688 87.248415 0.309481 0.154144
90.000000 89.779688 87.323467 0.357342 0.266483
91.000000 89.779688 86.632068 5.326560 0.232076
92.000000 90.116420 85.781870 6.691254 0.180427
93.000000 90.446611 86.281122 6.422982 0.139435
94.000000 90.656420 85.501008 8.390884 0.242235
95.000000 90.139688 87.073167 5.506128 0.150305
96.000000 89.906611 86.888198 6.141108 0.238637
97.000000 89.713561 87.440872 5.295742 0.110873
98.000000 90.079688 86.985254 5.199420 0.154859
99.000000 89.463229 86.670065 7.047360 0.096862
