

gen best mean std sigma_prime mutation_r crossover_r
0 91.490612 9.073088 29.025228 0.05 0.1 0.5
0 93.207043 81.803967 20.883977 0.049757 0.1 0.5
1 92.458358 79.14153 26.829983 0.076321 0.12 0.53
2 92.93194 81.785263 24.455657 0.109536 0.14 0.56
3 92.932142 80.031206 27.65684 0.137162 0.16 0.59
4 92.932142 84.370575 20.735681 0.16783 0.18 0.62
5 92.690612 88.665299 13.058136 0.207513 0.2 0.65
6 92.690612 83.342024 21.021854 0.252995 0.22 0.68
7 92.690612 88.395816 13.059604 0.290814 0.24 0.71
8 93.13194 86.099956 18.404555 0.315674 0.26 0.74
9 93.13194 85.504368 15.557398 0.360189 0.28 0.77
10 92.04704 86.614613 17.766647 0.449389 0.31 0.82
11 92.690612 84.970521 20.806654 0.55557 0.34 0.87
12 92.690612 83.90112 23.315292 0.561548 0.37 0.92
13 92.64704 87.968008 16.069161 0.591799 0.4 0.97
14 93.409567 89.703414 9.122054 0.671508 0.1 0.5
15 93.409567 89.878813 10.372848 0.626759 0.12 0.53
16 92.937405 88.928382 13.437155 0.692714 0.14 0.56
17 93.409567 88.336938 12.854004 0.717473 0.16 0.59
18 93.409567 86.755803 16.800141 0.704429 0.18 0.62
19 93.409567 88.62499 14.316131 0.717699 0.2 0.65
20 92.690612 84.947501 23.06075 0.705258 0.22 0.68
21 92.690612 87.141133 16.952496 0.698321 0.24 0.71
22 93.13194 84.289952 22.293835 0.750613 0.26 0.74
23 93.13194 86.059066 18.950855 0.797458 0.28 0.77
24 92.690612 86.750541 17.463497 0.819794 0.31 0.82
25 92.690612 85.252 19.332225 0.799805 0.34 0.87
26 92.690612 83.834296 22.802707 0.816001 0.37 0.92
27 92.690612 87.476105 16.370286 0.934162 0.4 0.97
28 92.64704 86.6 14.203835 0.976937 0.43 1.02
29 92.64704 84.67262 23.187578 1.064814 0.46 1.07
30 92.64704 85.011712 21.233852 1.22035 0.49 1.12
31 92.64704 82.172229 25.104033 1.30902 0.52 1.17
32 92.690612 83.139456 25.634901 1.24144 0.55 1.22
33 92.690612 85.895228 21.708008 1.159244 0.58 1.27
34 92.64704 81.721222 26.633431 0.05 0.1 0.5
35 92.64704 87.123019 13.650076 0.082036 0.12 0.53
36 92.64704 88.726849 10.6704 0.11912 0.14 0.56
37 93.372379 84.278448 20.995815 0.16322 0.16 0.59
38 93.336168 90.704432 8.21273 0.184424 0.18 0.62
39 92.572379 88.721133 11.804858 0.20208 0.2 0.65
40 93.002788 89.45088 10.11598 0.224613 0.22 0.68
41 93.002788 87.949471 12.477483 0.258738 0.24 0.71
42 93.002788 87.451869 13.331326 0.277166 0.26 0.74
43 93.33194 87.959009 13.028351 0.294963 0.28 0.77
44 93.33194 87.175032 16.619638 0.386357 0.31 0.82
45 93.33194 87.042981 17.497125 0.447164 0.34 0.87
46 93.682006 84.102354 20.159256 0.437707 0.1 0.5
47 93.409567 87.789185 16.055398 0.512805 0.12 0.53
48 92.690612 89.335384 13.085167 0.576723 0.14 0.56
49 92.690612 89.182504 10.619121 0.64131 0.16 0.59
50 93.488012 90.136562 10.750717 0.738911 0.18 0.62
51 93.488012 85.518097 19.042101 0.784481 0.2 0.65
