

gen best mean std sigma_prime mutation_r crossover_r
104 87.588046 75.948427 19.930016 0.045906 0.1 0.5
105 86.437173 76.317637 17.968429 0.046454 0.1 0.5
106 87.869249 77.171126 19.13368 0.044845 0.1 0.5
107 87.869249 78.159176 19.166326 0.047482 0.1 0.5
108 86.616382 74.256514 19.312515 0.050229 0.1 0.5
109 86.497173 78.054557 16.300884 0.050904 0.1 0.5
110 86.616382 75.989533 18.801328 0.055667 0.1 0.5
111 87.037173 74.718553 19.233437 0.056645 0.1 0.5
112 87.037173 75.820086 22.842713 0.055555 0.1 0.5
113 86.893171 77.69959 15.603544 0.054388 0.1 0.5
114 86.497173 76.901232 19.78611 0.053869 0.1 0.5
115 87.110126 77.254131 14.083369 0.055663 0.1 0.5
116 86.677173 77.261413 18.689085 0.053523 0.1 0.5
117 86.677173 78.553758 18.841729 0.055005 0.1 0.5
118 86.497173 76.874257 18.418318 0.056679 0.1 0.5
119 87.548909 77.459453 20.058678 0.058474 0.1 0.5
120 86.677173 77.530976 20.354043 0.058798 0.1 0.5
121 87.333767 76.753605 20.436044 0.065372 0.1 0.5
122 87.333767 78.921579 18.558336 0.066649 0.1 0.5
123 86.080816 76.841076 21.219336 0.076949 0.1 0.5
124 86.376382 77.559986 19.675576 0.080112 0.1 0.5
125 86.557173 78.862078 18.180637 0.085192 0.1 0.5
126 86.617173 79.311818 16.097481 0.082642 0.1 0.5
127 86.617173 77.123618 21.285064 0.08953 0.1 0.5
128 87.018299 77.202053 21.558201 0.085488 0.1 0.5
129 89.379955 77.730491 20.199065 0.074297 0.1 0.5
130 86.64307 78.52704 19.579292 0.075712 0.1 0.5
