gen,best,mean,sd
0,2.900000000000105,-80.29533333333329,22.994266605846363
1,2.900000000000105,-80.76214814814811,22.139078835438394
2,2.900000000000105,-80.76214814814811,22.139078835438394
3,2.900000000000105,-80.76214814814811,22.139078835438394
4,2.900000000000105,-80.76214814814811,22.139078835438394
5,2.900000000000105,-80.76214814814811,22.139078835438394
6,2.900000000000105,-80.76214814814811,22.139078835438394
7,2.900000000000105,-80.76214814814811,22.139078835438394
8,2.900000000000105,-80.76214814814811,22.139078835438394
9,2.900000000000105,-80.76214814814811,22.139078835438394
10,2.900000000000105,-80.76214814814811,22.139078835438394
11,2.900000000000105,-80.76214814814811,22.139078835438394
12,2.900000000000105,-80.76214814814811,22.139078835438394
13,2.900000000000105,-80.76214814814811,22.139078835438394
14,2.900000000000105,-80.76214814814811,22.139078835438394
15,2.900000000000105,-80.76214814814811,22.139078835438394
16,2.900000000000105,-80.76214814814811,22.139078835438394
17,2.900000000000105,-80.76214814814811,22.139078835438394
18,2.900000000000105,-80.76214814814811,22.139078835438394
19,2.900000000000105,-80.76214814814811,22.139078835438394
20,2.900000000000105,-80.76214814814811,22.139078835438394
21,2.900000000000105,-78.52933832709111,24.22577361446451
22,2.900000000000105,-52.31355555555551,35.22604762191934
23,2.900000000000105,-44.61118568232657,33.377120817190246
24,10.133333333333493,-43.8948545861297,34.27377356572349
25,10.133333333333493,-37.581879194630815,32.517333525606524
26,10.133333333333493,-37.98747203579413,34.61662527401858
27,10.133333333333493,-32.17897091722589,29.87355838636544
28,10.133333333333493,-34.38688888888883,30.61069817749313
29,10.766666666666765,-34.84111111111105,32.10840282696675
30,10.766666666666765,-40.3649006622516,35.70825983271642
31,10.766666666666765,-33.96688741721848,31.33154297094596
32,10.766666666666765,-35.602428256070574,33.22850538712981
33,10.766666666666765,-31.678145695364176,31.68188086855802
34,10.766666666666765,-29.399999999999935,32.09526182272166
35,10.766666666666765,-30.000666666666596,32.93502210469941
36,10.766666666666765,-27.9947019867549,30.17591398829409
37,10.766666666666765,-30.889189189189125,31.89714212777007
38,10.766666666666765,-26.833555555555485,30.748123338498363
39,11.066666666666766,-35.92061403508765,37.275342243754714
40,11.066666666666766,-25.608609271523108,30.097327397324747
41,11.066666666666766,-25.159429824561336,30.876217431726896
42,11.066666666666766,-22.88888888888882,30.472343020834106
43,11.066666666666766,-25.172930648769505,31.04328347974794
44,11.066666666666766,-20.385209713024214,26.164449825460615
45,11.066666666666766,-22.84966887417211,31.262475388875178
