gen,best,mean,sd
0,-12.56666666666661,-77.61711111111109,23.41618203900779
1,-12.56666666666661,-79.5196296296296,22.211126726938236
2,-12.56666666666661,-79.5196296296296,22.211126726938236
3,-12.56666666666661,-79.5196296296296,22.211126726938236
4,-12.56666666666661,-79.5196296296296,22.211126726938236
5,-12.56666666666661,-79.5196296296296,22.211126726938236
6,-12.56666666666661,-79.5196296296296,22.211126726938236
7,-12.56666666666661,-79.5196296296296,22.211126726938236
8,-12.56666666666661,-79.5196296296296,22.211126726938236
9,-12.56666666666661,-79.5196296296296,22.211126726938236
10,-12.56666666666661,-79.5196296296296,22.211126726938236
11,-12.56666666666661,-79.5196296296296,22.211126726938236
12,-12.56666666666661,-79.5196296296296,22.211126726938236
13,-12.56666666666661,-79.5196296296296,22.211126726938236
14,-12.56666666666661,-79.5196296296296,22.211126726938236
15,-12.56666666666661,-79.5196296296296,22.211126726938236
16,-12.56666666666661,-79.5196296296296,22.211126726938236
17,-12.56666666666661,-79.5196296296296,22.211126726938236
18,-12.56666666666661,-79.5196296296296,22.211126726938236
19,-12.56666666666661,-79.5196296296296,22.211126726938236
20,-12.56666666666661,-79.5196296296296,22.211126726938236
21,-12.56666666666661,-75.64242424242421,24.50946738363456
22,5.466666666666761,-56.21111111111107,34.43732507069463
23,5.466666666666761,-38.535982339955794,32.210042932030994
24,5.933333333333401,-37.38088888888884,32.54444831683147
25,8.666666666666755,-36.399111111111054,33.99336273923174
26,8.666666666666755,-31.44724061810149,29.670860223392822
27,8.666666666666755,-34.11266666666661,31.3507856053732
28,11.500000000000142,-33.84392935982334,32.96993220039907
29,11.500000000000142,-31.006181015452473,32.17943721699093
30,11.500000000000142,-30.467785234899267,33.09035252934221
31,11.500000000000142,-29.866222222222156,31.958904627468947
32,12.50000000000011,-28.470888888888823,32.615998186908165
33,12.50000000000011,-29.915452538631282,30.339346073365665
34,12.50000000000011,-30.563087248322084,33.40641678168275
35,12.50000000000011,-32.65123042505586,35.11211053315252
36,12.50000000000011,-28.907606263982032,34.00173902663332
37,12.50000000000011,-26.920357941834386,31.346664476016482
38,12.50000000000011,-25.914988814317603,30.648239876870772
39,12.50000000000011,-28.319239373601715,32.35895458067497
40,19.000000000000114,-27.59644444444437,33.726201518100254
41,19.000000000000114,-24.019999999999925,30.85312229832756
42,19.000000000000114,-26.67088888888882,32.066478007453064
43,19.000000000000114,-23.849561403508694,32.48096225736485
44,19.000000000000114,-26.353652968036453,31.22118211540401
45,19.000000000000114,-27.2812080536912,34.23376307478072
46,19.000000000000114,-32.13465783664452,32.48904357816511
47,19.000000000000114,-29.219736842105196,32.15703640844448
48,19.000000000000114,-22.537360178970843,29.569759506915503
49,19.000000000000114,-23.868680089485387,29.826876365768204
50,19.000000000000114,-25.197350993377412,28.00664472906067
51,19.000000000000114,-28.82348993288584,33.27625437448547
52,19.000000000000114,-27.882222222222147,33.48066366585606
53,19.000000000000114,-28.423620309050705,33.2321259563125
54,19.000000000000114,-20.866666666666585,28.66548902424753
55,19.000000000000114,-22.377404921700148,30.430632175864606
56,19.000000000000114,-23.792273730684254,31.659393017020435
57,19.000000000000114,-23.568888888888814,30.34406615167594
58,19.000000000000114,-26.260850111856755,31.08826810221156
59,19.000000000000114,-24.334009009008934,31.77206581590392
60,19.000000000000114,-26.59337748344364,31.421244862284247
61,19.000000000000114,-25.401986754966813,29.98116706679538
62,19.000000000000114,-29.670888888888822,33.993815624189054
63,19.000000000000114,-26.248666666666598,31.70884901142946
64,19.000000000000114,-25.397297297297232,29.946191361837382
65,19.000000000000114,-27.020270270270203,31.61879350370058
66,19.000000000000114,-27.97044444444438,31.799805388798113
67,19.000000000000114,-25.240715883668834,29.128410921783946
68,19.000000000000114,-28.795078299776215,33.16267867513647
69,19.000000000000114,-32.42511111111104,34.57251722408824
70,19.000000000000114,-27.53668903803125,31.788361417744607
71,19.000000000000114,-25.469777777777708,30.72467541260409
72,19.000000000000114,-27.815555555555488,33.40252677660374
73,19.000000000000114,-29.173289183222888,33.23886459399124
74,19.000000000000114,-25.170394736842034,29.879674277540296
75,19.000000000000114,-27.474613686534145,30.87314301550406
76,19.000000000000114,-27.917555555555488,32.15744063352628
77,19.000000000000114,-22.50242825607057,29.589634617741517
78,19.000000000000114,-27.76888888888882,33.08699278202881
79,19.000000000000114,-24.539373601789634,31.213076155636436
80,19.000000000000114,-25.10244444444437,30.78670398358423
81,19.000000000000114,-23.40066666666659,29.5989860862384
82,19.133333333333475,-23.992792792792716,31.226325937254444
83,19.133333333333475,-31.719867549668805,33.711040234375886
84,19.133333333333475,-22.54399999999993,28.540277275509506
85,19.133333333333475,-25.623713646532362,30.944389584554063
86,19.133333333333475,-25.35540540540533,30.6458028699585
87,19.133333333333475,-24.5137777777777,30.010292354621907
88,19.133333333333475,-22.308444444444365,29.85105449757656
89,19.833333333333478,-23.3894854586129,31.603778384265954
