# gen best mean std diversity
0.000000 92.950654 46.751605 2.663637 0.535715
1.000000 93.739465 64.048030 1.146739 0.486553
2.000000 93.923558 67.001644 2.224111 0.442055
3.000000 93.868354 72.933936 2.584564 0.386071
4.000000 93.868354 69.555141 5.125910 0.344227
5.000000 93.675050 75.013418 4.830540 0.318706
6.000000 93.675050 77.562742 2.232622 0.463500
7.000000 93.675050 79.296457 5.252104 0.526850
8.000000 93.675050 84.070815 3.511376 0.468133
9.000000 93.931733 87.631049 4.399469 0.454036
10.000000 93.946708 88.767201 3.851161 0.404042
11.000000 93.858253 87.908504 4.048861 0.369657
12.000000 94.223558 88.107648 1.132254 0.364626
13.000000 94.223558 88.052178 4.879872 0.533302
14.000000 93.796695 85.743530 1.450953 0.510747
15.000000 93.796695 88.184944 10.158872 0.434477
16.000000 93.796695 87.612260 7.478608 0.397145
17.000000 93.941885 86.874649 11.342514 0.372469
18.000000 93.941885 88.396140 4.312771 0.351812
19.000000 94.066708 88.058141 7.820240 0.316163
20.000000 93.465064 87.226516 4.697877 0.428860
21.000000 93.936796 85.836911 13.276502 0.398111
22.000000 93.936796 87.917955 3.755225 0.356434
23.000000 93.494823 88.304839 7.036211 0.338888
24.000000 92.928788 88.089405 2.168270 0.313974
25.000000 93.820945 88.310011 2.869675 0.295563
26.000000 93.735050 85.539541 7.939657 0.400545
27.000000 93.592506 90.783052 5.631613 0.411033
28.000000 93.431732 89.656439 5.815363 0.378414
29.000000 94.415214 90.509598 5.371055 0.333555
30.000000 94.415214 91.294154 6.904185 0.329434
31.000000 94.636054 91.314319 6.649123 0.311960
32.000000 94.636054 91.637397 6.238734 0.310918
33.000000 93.863536 92.004067 2.612903 0.434866
34.000000 93.729362 92.307963 0.079051 0.334723
35.000000 93.981683 91.661668 6.410549 0.329502
36.000000 93.981683 92.156635 2.377733 0.306311
37.000000 94.282788 91.758337 6.047960 0.284148
38.000000 93.615050 92.322571 0.382825 0.279924
39.000000 93.619361 91.629665 5.203389 0.280804
40.000000 93.413025 87.934564 9.222282 0.373462
41.000000 93.598742 87.530353 1.941531 0.360254
42.000000 93.379361 90.893647 3.746746 0.330257
43.000000 93.348788 90.518724 6.617549 0.309692
44.000000 93.931733 90.950819 5.920273 0.291166
45.000000 93.931733 91.374163 6.932189 0.284208
46.000000 93.739361 90.785563 5.812308 0.384410
47.000000 93.991733 89.979959 8.114748 0.364468
48.000000 93.931733 89.714465 8.267748 0.352199
49.000000 94.295214 91.707516 6.408888 0.340278
50.000000 94.101683 90.545572 3.080490 0.333250
51.000000 94.636054 90.783531 8.457596 0.313761
52.000000 94.283558 91.659565 2.535573 0.299012
53.000000 94.283558 92.553379 0.217950 0.415941
54.000000 93.664826 89.959876 6.980066 0.396874
55.000000 94.336054 91.391467 7.009617 0.377890
56.000000 93.791732 90.985738 9.217459 0.354156
57.000000 94.175214 92.077908 2.249967 0.325795
58.000000 94.175214 89.568841 2.691959 0.322264
59.000000 94.678596 92.501664 0.365520 0.310208
60.000000 94.072404 91.690754 6.672827 0.372569
61.000000 94.072404 92.461564 0.113063 0.353751
62.000000 94.072404 90.765229 8.683248 0.333024
63.000000 94.214024 92.230638 0.176174 0.325060
64.000000 94.720945 91.221749 5.658193 0.309555
65.000000 93.550654 92.301636 0.266110 0.292969
66.000000 94.516054 91.002836 3.978886 0.380831
67.000000 94.516054 90.737860 8.959100 0.358639
68.000000 93.803558 91.910726 4.669992 0.347724
69.000000 93.794024 90.146981 1.190014 0.332579
70.000000 93.598742 90.300985 6.636962 0.313900
71.000000 93.931733 90.661367 6.032372 0.267237
72.000000 92.839688 90.009314 1.489258 0.248583
73.000000 93.446611 90.365358 6.795159 0.399077
74.000000 94.132404 90.837094 8.996096 0.366079
75.000000 94.132404 87.640830 7.112567 0.359776
76.000000 93.798253 91.590024 5.769154 0.348943
77.000000 94.103558 91.873875 2.182497 0.337080
78.000000 94.103558 89.965568 7.111945 0.313676
79.000000 93.147511 88.965792 12.501183 0.295882
80.000000 94.654253 91.638067 6.448660 0.364223
81.000000 94.654253 91.584073 6.207854 0.355720
82.000000 94.654253 91.194897 5.400782 0.334168
83.000000 94.055214 91.823013 5.105863 0.316053
84.000000 94.055214 92.280707 0.360717 0.302973
85.000000 94.642788 92.162930 1.970761 0.283860
86.000000 94.822006 92.102107 3.960925 0.378520
87.000000 94.822006 92.593471 0.511869 0.363371
88.000000 94.522788 91.096273 5.658486 0.344708
89.000000 94.522788 91.235362 5.771337 0.329051
90.000000 93.916695 90.971100 6.226180 0.320163
91.000000 93.936796 90.915719 6.645069 0.300980
92.000000 93.946708 92.532409 0.167613 0.287009
93.000000 93.946708 91.384546 5.766210 0.389554
94.000000 93.871733 92.433666 0.040554 0.338431
95.000000 93.946708 91.089388 4.564233 0.319558
96.000000 93.946708 91.168951 4.239667 0.311568
97.000000 94.174253 91.798167 5.111384 0.301735
98.000000 94.174253 92.254914 1.940828 0.291478
99.000000 94.174253 91.571815 4.651934 0.299509
