gen,best,mean,sd
0,-2.6999999999998323,-68.50266666666657,25.010714894931674
1,11.000000000000085,-67.98733333333324,25.854683126187354
2,11.000000000000085,-67.98733333333324,25.854683126187354
3,11.000000000000085,-67.98733333333324,25.854683126187354
4,11.000000000000085,-67.98733333333324,25.854683126187354
5,11.000000000000085,-67.98733333333324,25.854683126187354
6,11.000000000000085,-67.98733333333324,25.854683126187354
7,11.000000000000085,-67.98733333333324,25.854683126187354
8,11.000000000000085,-67.98733333333324,25.854683126187354
9,11.000000000000085,-67.98733333333324,25.854683126187354
