gen,best,mean,sd
91,15.0,-52.00331125827811,30.090273487823186
92,15.0,-49.949006622516514,29.793736546861652
93,15.0,-53.47066666666663,27.958172440669724
94,15.0,-56.4053333333333,28.641924485310412
95,15.0,-52.23866666666663,28.329223513695027
96,15.0,-50.99933333333329,31.01896086088139
97,15.0,-51.02399999999995,30.596883675738436
98,15.0,-45.98799999999996,25.3359189557698
99,15.0,-51.923999999999964,28.175821029149596
100,15.0,-49.5813333333333,29.494486234247656
101,15.0,-53.1433333333333,27.044869918135873
102,15.0,-53.681999999999974,28.769773652220522
103,15.0,-56.13999999999998,27.35232104715555
104,15.0,-54.60066666666664,29.03203861636699
105,15.0,-56.50599999999997,30.52558103187121
106,15.0,-52.0893333333333,28.754981357825482
107,15.0,-56.92599999999996,30.878096724593238
108,15.0,-54.35733333333331,28.096997103288885
109,15.0,-53.5693333333333,28.370374093801164
110,15.0,-51.13799999999997,28.633841679616367
111,15.0,-54.245333333333306,28.6582916138109
112,15.0,-50.094666666666626,28.96542717716343
113,15.0,-56.797999999999966,32.061331787684715
114,15.0,-49.57799999999996,28.13436539181224
115,15.0,-54.023333333333305,28.764886966964152
116,15.0,-48.936666666666625,28.863112367788023
117,15.0,-51.03199999999997,28.604993317018426
118,15.0,-51.08466666666662,30.980141460117505
119,15.0,-51.979333333333294,31.626135387611907
120,25.0,-52.82533333333331,29.657514363517112
121,25.0,-58.170469798657706,30.21747461755387
122,25.0,-52.183999999999976,28.66742653256482
123,25.0,-59.33933333333332,29.34597961485622
124,25.0,-55.997315436241585,29.99206818255361
125,25.0,-54.98266666666664,28.096732305060385
126,25.0,-55.148666666666635,28.25302753491899
127,25.0,-56.50872483221474,27.77527009005117
128,25.0,-49.80860927152314,27.417903804982135
129,25.0,-58.08199999999997,27.714263644075686
130,25.0,-55.769127516778504,27.53913603097843
131,25.0,-56.21409395973151,28.844675500272242
132,25.0,-55.10927152317878,27.140049707854626
133,25.0,-54.94966887417215,28.666171479769954
134,25.0,-54.23466666666663,27.639850425708847
135,25.0,-48.91666666666662,28.56804839132157
136,25.0,-56.697350993377455,28.145579321926768
137,25.0,-52.5304635761589,27.715924113295834
138,25.0,-55.5833333333333,28.145328603912663
139,25.0,-61.22333333333331,29.050662451808062
140,25.0,-56.65430463576155,29.415229499414515
141,25.0,-55.22799999999996,29.992514888440677
142,25.0,-60.295999999999964,30.109528680026457
143,25.0,-56.67866666666662,29.420384286333817
144,25.0,-53.21533333333329,28.553997353941377
145,25.0,-54.398657718120766,30.347333809401132
146,25.0,-61.11523178807944,30.525012539050493
147,25.0,-58.298013245033076,29.313097382774338
148,25.0,-60.77986577181205,30.152077582354426
149,25.0,-58.3753333333333,27.851924976361875
150,25.0,-57.45599999999996,31.305774717560798
151,25.0,-55.490666666666634,29.7718353407303
152,25.0,-52.917218543046324,27.481991120952433
153,25.0,-56.1422818791946,31.329164278517624
154,25.0,-54.880666666666635,28.648685127865072
155,25.0,-51.73245033112579,30.046373759824743
156,25.0,-55.93046357615891,30.980833625049215
157,25.0,-53.567333333333295,29.29757554626135
158,25.0,-54.73288590604024,27.84729558749503
159,25.0,-50.56533333333329,26.954861000486673
160,25.0,-55.92450331125824,27.708828934335035
161,25.0,-51.56666666666663,28.802397276770055
162,25.0,-51.35466666666663,29.451271815586463
163,25.0,-53.66266666666663,29.179542026716092
164,25.0,-47.996688741721805,31.095776884151782
165,40.0,-50.06066666666663,31.223595557775816
166,40.0,-52.842666666666624,32.144509840544956
167,40.0,-53.42649006622513,30.515974976067366
168,40.0,-52.359333333333296,32.22541253248577
169,45.0,-52.06266666666664,30.512236991446958
170,45.0,-52.983443708609244,29.140369191513237
171,45.0,-53.825333333333305,29.150126784553734
172,45.0,-54.35033112582778,31.911039162336273
173,45.0,-51.14295302013419,29.74263939180723
174,45.0,-48.21192052980129,31.108917669427562
175,45.0,-50.48187919463083,29.1616440503095
176,45.0,-45.52052980132446,29.740572144923366
177,45.0,-53.995364238410566,32.9302963180687
178,45.0,-56.60799999999997,33.18797075246796
179,45.0,-53.33599999999997,31.516146718785308
180,45.0,-53.86466666666663,33.28775377756147
181,45.0,-49.30927152317877,31.404515959462444
182,45.0,-49.83576158940393,32.86386397771588
183,45.0,-55.448344370860895,32.85046363196496
184,45.0,-53.355999999999966,32.588710683302615
185,45.0,-52.090666666666635,31.831473621070238
186,45.0,-49.15199999999997,30.716891596210296
187,45.0,-56.77533333333331,31.839541321375172
188,45.0,-52.98322147651003,31.64248143292225
189,45.0,-50.49866666666663,31.13209702042075
190,45.0,-51.572847682119175,30.46729857764198
191,45.0,-50.447999999999965,32.472153649960894
192,45.0,-54.05298013245031,31.625938319084238
193,45.0,-50.42980132450328,29.481768515388737
194,45.0,-56.64266666666664,29.217050607859505
195,45.0,-54.89865771812079,31.383965440792924
196,45.0,-55.45266666666664,29.83730706496299
197,45.0,-56.31721854304633,30.174821225188857
198,45.0,-56.99999999999998,31.09132670097067
